Lek,Ryzyko fizyczne — poziom,Ryzyko fizyczne — dotkliwość,Zdarzenie fizyczne,Ryzyko farmakol. — poziom,Ryzyko farmakol. — dotkliwość,Zdarzenie farmakol.,Ryzyko proceduralne — poziom,Ryzyko proceduralne — dotkliwość,Zdarzenie proceduralne
Acetylocysteina,Wysokie,Wysokie,"Grupy tiolowe — wytrącenie z aminoglikozydami, CaCl₂, niektórymi metalami.",Średnie,Średnie,Anafilaksja przy zbyt szybkim pierwszym wlewie (15 min).,Wysokie,Wysokie,Pominięcie protokołu 3-etapowego lub podanie zbyt szybko = anafilaksja.
Adrenalina,Bardzo wysokie,Krytyczne,Inaktywacja przez NaHCO₃ i alkalia. Oksydacja — brązowienie = nieaktywna.,Wysokie,Krytyczne,Jak noradrenalina. Poza NZK — bolus = ciężka hipertensja.,Wysokie,Krytyczne,Bolus poza NZK przez niedopatrzenie (np. push przez linię) = nagła hipertensja/arytmia.
Albumina 20%,Średnie,Średnie,Wytrącenie z CaCl₂ (wysokie stężenia).,Wysokie,Wysokie,Wiąże fenytoinę i diazepam — zmieniona farmakokinetyka wolnej frakcji.,Średnie,Wysokie,"Zbyt szybki wlew = przeciążenie płynowe, obrzęk płuc."
Amikacyna,Bardzo wysokie,Krytyczne,Inaktywacja przez WSZYSTKIE beta-laktamy w linii. Dead space trójnika wystarczy.,Bardzo wysokie,Krytyczne,Inaktywacja przez beta-laktamy. Nefro- i ototoksyczność z wankomycyną.,Bardzo wysokie,Krytyczne,"Podanie przez lumen z beta-laktamem — najczęstszy błąd proceduralny w OIT. Amikacyna wydaje się podana, ale jest nieaktywna."
Amiodaron,Bardzo wysokie,Krytyczne,Wytrącenie w NaCl (natychmiastowe). Adsorpcja do PVC + ekstrakcja DEHP. Liniowy kontakt z innymi lekami w G5.,Bardzo wysokie,Krytyczne,"Podwojenie stężenia digoksyny. QT addytywne z haloperydolem (TdP), flukonazolem. Wzrost stężenia teofiliny.",Wysokie,Wysokie,Podanie w NaCl lub przez PVC — lek nieaktywny lub utracony. Bolus poza NZK = hipotensja.
Amp+sulbaktam,Średnie,Wysokie,Jak ampicylina. Sulbaktam niestabilny w G5.,Wysokie,Wysokie,Sulbaktam degraduje w G5 — utrata aktywności inhibitora beta-laktamaz.,Niskie,Średnie,Błędny dobór nośnika (G5).
Ampicylina,Średnie,Wysokie,Wytrącenie z aminoglikozydami (natychmiastowe) i roztworami zasadowymi,Wysokie,Wysokie,Inaktywacja amikacyny przez kontakt. Aminoglikozydy tracą do 100% aktywności.,Średnie,Średnie,"pH ~10 — ból żylny przy szybkim podaniu. Przypadkowy szybki bolus = ból, drażnienie żyły."
Bupiwakaina,Niskie,Niskie,Nie dotyczy IV.,Bardzo wysokie,Krytyczne,Przypadkowe IV = NZK oporne na resuscytację. Wysoka lipofilność = kumulacja w sercu.,Wysokie,Krytyczne,Pomylenie drogi podania (zewnątrzoponowy vs IV) = śmierć. Aktywacja linii IV podczas znieczulenia zewnątrzoponowego.
CaCl₂,Bardzo wysokie,Krytyczne,"Wytrącenie z ceftriaksonem (śmiertelne u noworodków, FDA), fosforanami, węglanami. Natychmiastowe.",Średnie,Wysokie,Hiperkalcemia przy szybkim bolus. Arytmia.,Wysokie,Krytyczne,Bolus przez linię po ceftriaksonie bez przepłukania = wytrącenie w kaniuli.
Ceftriakson,Bardzo wysokie,Krytyczne,Natychmiastowe wytrącenie soli Ca-ceftriaksonowej przy kontakcie z CaCl₂/Ca-glukonian. Mikrokryształy w linii. FDA Black Box.,Średnie,Wysokie,Inaktywacja przy kontakcie z aminoglikozydami.,Wysokie,Krytyczne,Podanie CaCl₂ przez linię po ceftriaksonie bez przepłukania. Krzyżowe podanie przez wspólny trójnik.
Cerebrolysin,Średnie,Średnie,"Wytrącenie z aminokwasami IV, emulsjami lipidów.",Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Brak krytycznych.
Deksametazon,Niskie,Niskie,Wytrącenie z fenytoiną.,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Bezpieczny bolus.
Deksametazon TZF,Niskie,Niskie,Jak Dexaven.,Niskie,Niskie,Jak Dexaven.,Niskie,Niskie,Bezpieczny bolus.
Diazepam,Bardzo wysokie,Krytyczne,Wytrącenie w NaCl (natychmiastowe). Adsorpcja do PVC 80–90% — pozorna dawka.,Średnie,Wysokie,Albumina wiąże diazepam — zmieniona farmakodynamika.,Bardzo wysokie,Krytyczne,Standardowy zestaw PVC = utrata 80–90% dawki = brak efektu terapeutycznego lub niespójna sedacja. Podanie w NaCl = wytrącenie.
Digoksyna,Wysokie,Wysokie,Adsorpcja do plastiku — utrata dawki. Wytrącenie przy pH zmienionym.,Bardzo wysokie,Krytyczne,"Amiodaron znacząco podnosi stężenie digoksyny (hamowanie P-gp — efekt może być zbliżony do podwojenia, ale wartość zmienna). Furosemid → hipokaliemia → toksyczność digoksyny wzrasta. Wąski indeks terapeutyczny.",Wysokie,Krytyczne,"Szybki bolus = bradykardia, blok AV, NZK. Adsorpcja do plastiku nierozpoznana = zmienna dawka."
Dobutamina,Wysokie,Wysokie,Wytrącenie z furosemidem (natychmiastowe). Inaktywacja przez NaHCO₃.,Wysokie,Wysokie,Addytywna tachykardia/arytmia z innymi katecholaminami.,Wysokie,Wysokie,Bolus = nagłe zmiany HR/BP.
Dopamina,Wysokie,Krytyczne,Inaktywacja przez NaHCO₃ natychmiastowa. Niezgodna z furosemidem.,Wysokie,Wysokie,Addytywna tachykardia z dobutaminą. Zmiany hemodynamiczne przy zmianie dawki.,Wysokie,Krytyczne,Bolus/flush → nagłe zmiany hemodynamiczne.
Esomeprazol,Wysokie,Wysokie,"pH 9–10 — wytrąca kwaśne leki natychmiastowo (midazolam, haloperydol, katecholaminy) w dead space trójnika.",Niskie,Niskie,Brak krytycznych.,Wysokie,Wysokie,Podanie esomeprazolu przez linię katecholaminy = wytrącenie w trójniku + potencjalna inaktywacja katecholaminy.
Etamsylat,Niskie,Niskie,Unikać kontaktu z NaHCO₃.,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Brak krytycznych.
Fentanyl,Niskie,Niskie,Szeroka kompatybilność.,Wysokie,Wysokie,Flukonazol hamuje CYP3A4 → wzrost stężeń fentanylu (wielkość efektu zmienna osobniczo). Rigid chest syndrome przy dużych dawkach szybko.,Średnie,Wysokie,"Duże dawki szybko → rigid chest syndrome (sztywność klatki, niemożność wentylacji)."
Fenytoina,Bardzo wysokie,Krytyczne,Wytrącenie z każdym lekiem (pH 10–12). Kryształy w G5 natychmiastowo. Kryształy w linii po niewystarczającym przepłukaniu.,Wysokie,Wysokie,Albumina wiąże fenytoinę — zmieniona farmakodynamika. Flukonazol podnosi stężenie fenytoiny.,Bardzo wysokie,Krytyczne,Przekroczenie 50 mg/min = asystolia. Przypadkowy bolus przez linię wspólną = kryształy w naczyniu. Brak limitu szybkości w pompie.
Fibryga,Bardzo wysokie,Krytyczne,Inaktywacja czynników krzepnięcia przy kontakcie z KAŻDYM lekiem — denaturacja białka.,Średnie,Wysokie,Brak aktywności prokoagulacyjnej po inaktywacji.,Bardzo wysokie,Krytyczne,Podanie przez linię z innym lekiem = inaktywacja bez widocznych zmian = brak efektu = krwawienie.
Flukonazol,Niskie,Niskie,Szeroka kompatybilność fizyczna.,Bardzo wysokie,Wysokie,Silna inhibicja CYP3A4 → istotny wzrost stężeń midazolamu i fentanylu (wielkość efektu jest zmienna osobniczo — może być kilkukrotna). Addytywne wydłużenie QT z amiodароnem i haloperydolem.,Wysokie,Wysokie,"Brak modyfikacji dawki midazolamu/fentanylu przy włączeniu flukonazolu — nadmierna sedacja, depresja oddechowa."
Fondaparynuks,Niskie,Niskie,Brak danych Y-site.,Średnie,Wysokie,Krwawienie — jak każdy antykoagulant. Brak antidotum.,Niskie,Średnie,Zasadniczo s.c. — pomyłka drogi podania (IV zamiast s.c.).
Fosfomycyna,Średnie,Średnie,pH 9–11 — wytrącenie z aminoglikozydami. G5 — brak danych.,Średnie,Wysokie,"Duże ładunki Na⁺ (15 mmol/g) — hipersodemia, przeciążenie płynowe.",Niskie,Średnie,Nieuwzględnienie ładunku sodowego.
Furosemid,Bardzo wysokie,Wysokie,"pH 9 — wytrąca WSZYSTKIE kwaśne leki natychmiastowo w dead space: midazolam, haloperydol, dobutaminę, metamizol, metoklopramid.",Wysokie,Wysokie,"Hipokaliemia → toksyczność digoksyny, arytmie. Ototoksyczność (duże dawki, niewr. nerek).",Wysokie,Wysokie,Bolus przez linię z midazolamem = wytrącenie. Duży bolus zbyt szybko = ototoksyczność.
Glicerol,Niskie,Niskie,Szeroka kompatybilność.,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Brak krytycznych.
Haloperydol,Wysokie,Wysokie,"Wytrącenie z furosemidem natychmiastowe (pH 3,5 vs pH 9). Wytrącenie z zasadowymi.",Bardzo wysokie,Krytyczne,"QT addytywne z amiodароnem = Torsades de Pointes, migotanie komór. Flukonazol podnosi haloperydol (CYP3A4).",Wysokie,Krytyczne,Podanie haloperydolu pacjentowi na amiodaronie bez monitorowania EKG.
Hepa-Merz,Średnie,Średnie,Brak danych Y-site.,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Brak krytycznych.
Hydrokortyzon,Średnie,Średnie,Wytrącenie z heparyną.,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Bezpieczny bolus.
Insulina,Wysokie,Wysokie,Adsorpcja do PVC 20–30% — bez saturacji zestawu utrata dawki.,Wysokie,Wysokie,Hipoglikemia przy przyspieszeniu przepływu lub nieintencjonalnym bolusie.,Wysokie,Wysokie,Każda zmiana strzykawki = nowa saturacja niezbędna. Zmiana przepływu przez trójnik = bolus insuliny.
Kanavit,Średnie,Wysokie,Fotodegradacja aktywna. Szybki bolus = anafilaksja.,Niskie,Niskie,Brak krytycznych.,Wysokie,Wysokie,Podanie bez osłony = nieaktywny lek. Szybki bolus = reakcja anafilaktoidalna.
Kaspofungina,Wysokie,Wysokie,Utrata aktywności w G5/G10 — niezgodność nośnikowa. Flush G5 przez linię kaspofunginy = dezaktywacja w dead space.,Niskie,Średnie,Ograniczone interakcje farmakodynamiczne.,Wysokie,Wysokie,G5 jako nośnik lub do przepłukania — błąd wykonawczy powodujący utratę leku.
Klindamycyna,Niskie,Średnie,Wytrącenie z aminoglikozydami przy bezpośrednim mieszaniu.,Niskie,Średnie,Brak krytycznych interakcji farmakodynamicznych.,Bardzo wysokie,Krytyczne,BOLUS lub zbyt szybki wlew = blok nerwowo-mięśniowy + kardiotoksyczność → NZK. Najniebezpieczniejszy błąd proceduralny tej grupy.
Kwas traneksamowy,Niskie,Niskie,Unikać z penicylinami.,Średnie,Średnie,Drgawki przy dużych dawkach dożylnych.,Średnie,Wysokie,"Zbyt szybki bolus = hipotensja, drgawki (duże dawki)."
Kwas walproinowy,Niskie,Niskie,Szeroka kompatybilność fizyczna.,Bardzo wysokie,Krytyczne,"Meropenem obniża VPA 60–100% — niezależnie od drogi IV, przez inhibicję enzymatyczną.",Średnie,Krytyczne,Brak monitorowania VPA po włączeniu meropenemu — wznowa napadów pomimo pozornej terapii.
Laktuloza,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Brak krytycznych.
Lewetyracetam,Niskie,Niskie,Szeroka kompatybilność.,Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Wlew 15 min — krótki bolus akceptowalny.
Lewosimendan,Niskie,Średnie,Brak danych Y-site z większością leków.,Wysokie,Wysokie,Addytywna hipotensja z innymi wazodylatatorami i lekami presyjnymi obniżającymi SVR.,Średnie,Wysokie,Bolus ładujący → hipotensja (często pomijany u pacjentów z niskim BP).
Lorazepam,Średnie,Średnie,Umiarkowana adsorpcja do PVC.,Średnie,Wysokie,Addytywna depresja OUN.,Średnie,Wysokie,Szybki bolus = apnea. Zwłaszcza z opioidami.
Meropenem,Średnie,Średnie,Degradacja w G5 po 1h (bez widocznych zmian). Niezgodność z NaHCO₃.,Bardzo wysokie,Krytyczne,Obniżenie VPA o 60–100% przez inhibicję enzymatyczną — niezależne od linii IV.,Średnie,Wysokie,G5 jako nośnik przy ciągłym wlewie — lek degraduje bez widocznych zmian.
Metamizol,Średnie,Średnie,Reaktywny — nie mieszać bezpośrednio. Degradacja po 1h.,Średnie,Wysokie,Histaminoliberacja → hipotensja przy szybkim wlewie.,Wysokie,Wysokie,Szybki bolus zamiast wlewu 15 min = nagła hipotensja. Stary roztwór (>1h) = lek nieaktywny.
Metoklopramid,Średnie,Średnie,Wytrącenie z furosemidem.,Średnie,Średnie,Pozapiramidowe przy szybkim lub dużych dawkach.,Średnie,Średnie,Szybki bolus = objawy pozapiramidowe.
Metoprolol,Niskie,Niskie,Brak istotnych.,Wysokie,Wysokie,Addytywna bradykardia z digoksyną i amiodароnem.,Średnie,Wysokie,"Szybki bolus = bradykardia, blok AV."
Midazolam,Wysokie,Wysokie,"Wytrącenie z furosemidem, NaHCO₃, amiodароnem — natychmiastowe.",Bardzo wysokie,Wysokie,Flukonazol → 3–5× wzrost stężenia midazolamu. Addytywna depresja OUN i oddechowa.,Wysokie,Wysokie,Szybki bolus = apnea. Brak modyfikacji przy flukonazolu = przedłużona sedacja.
Monofer,Wysokie,Wysokie,Wytrącenie w G5 (niezgodność nośnikowa). Niezgodność z CaCl₂.,Średnie,Średnie,Reakcja anafilaktoidalna — szczególnie pierwsze podanie.,Wysokie,Wysokie,G5 jako nośnik = wytrącenie/niestabilność. Niewystarczające monitorowanie przy pierwszym podaniu.
Morfina,Niskie,Niskie,Szeroka kompatybilność.,Średnie,Wysokie,"Histaminoliberacja przy szybkim bolusie → hipotensja, skurcz oskrzeli.",Średnie,Wysokie,Szybki bolus = nagła hipotensja i skurcz oskrzeli szczególnie u astmatyków.
Mykafungina,Niskie,Niskie,Szeroka kompatybilność. G5 i NaCl — OK.,Niskie,Średnie,Addytywne QT z innymi lekami QT (niskie ryzyko).,Niskie,Niskie,Brak krytycznych.
NaHCO₃,Bardzo wysokie,Krytyczne,"Inaktywacja katecholamin w SEKUNDACH przy kontakcie. Wytrącenie soli wapnia, magnezu.",Wysokie,Wysokie,"Paradoksalna kwasica wewnątrzkomórkowa przy nadmiarze. Hiperosmolalność, hipokaliemia.",Bardzo wysokie,Krytyczne,Podanie przez linię katecholamin = natychmiastowa inaktywacja presyjnych bez widocznych zmian roztworu. Cichy błąd.
Neurovit B,Średnie,Średnie,B1 i B12 fotolabilne.,Niskie,Niskie,Brak krytycznych.,Średnie,Średnie,Brak osłony = utrata aktywności B1.
Nimodypina,Bardzo wysokie,Wysokie,Adsorpcja do PVC + ekstrakcja DEHP. Utrata dawki niewidoczna.,Średnie,Wysokie,Addytywna hipotensja z innymi wazodylatatorami.,Bardzo wysokie,Wysokie,Standardowy zestaw PVC = utrata leku + narażenie na DEHP. Najczęstszy błąd przy nimodypinie.
Nitrogliceryna,Bardzo wysokie,Krytyczne,Adsorpcja do PVC — utrata 50–80% dawki. Niewidoczna.,Średnie,Wysokie,Addytywna hipotensja z innymi wazodylatatorami.,Bardzo wysokie,Krytyczne,Standardowy zestaw PVC = pozorna terapia. Pacjent nie otrzymuje skutecznej dawki — nierozpoznana nieskuteczność. Bolus = ciężka hipotensja.
Noradrenalina,Bardzo wysokie,Krytyczne,"Inaktywacja przez alkalia (NaHCO₃, furosemid, esomeprazol) w dead space trójnika — natychmiastowa.",Wysokie,Krytyczne,Każda zmiana dawki opóźniona o dead space/przepływ. Niewidoczna przerwa przy zmianie strzykawki.,Bardzo wysokie,Krytyczne,"Flush przez linię noradrenaliny = niecelowy bolus presyjny → nagła hipertensja, arytmia. Zmiana strzykawki bez primingu = przerwa w dawce."
Octaplex,Bardzo wysokie,Krytyczne,Jak Fibryga.,Średnie,Wysokie,Ryzyko zakrzepicy przy nadmiernym podaniu.,Bardzo wysokie,Krytyczne,Jak Fibryga. Max 8 ml/min — przekroczenie = anafilaksja.
Pip+tazobaktam,Bardzo wysokie,Krytyczne,Natychmiastowe wytrącenie z amikacyną w dead space trójnika. Widoczne zmętnienie.,Bardzo wysokie,Krytyczne,Inaktywacja amikacyny przez pip+taz — nawet w oddzielnych liniach przy krótkim odstępie czasowym.,Średnie,Wysokie,Podanie amikacyny bezpośrednio po pip+taz przez ten sam lumen bez przepłukania.
Propofol 2%,Bardzo wysokie,Krytyczne,"Zerwanie emulsji przy kontakcie z NaCl, aminoglikozydami, NaHCO₃. Bakteryjne skażenie emulsji — pożywka.",Wysokie,Krytyczne,PRIS (Propofol Infusion Syndrome) przy dawkach >4 mg/kg/h przez >48h. Triglicerydy — monitorowanie.,Bardzo wysokie,Krytyczne,Wspólna linia z innymi lekami = zerwanie emulsji lub skażenie. Szybki bolus = apnea/hipotensja/PRIS. Niewystarczające monitorowanie przy długotrwałym stosowaniu.
Runapriq,Średnie,Średnie,Lek sierocy — brak danych.,Średnie,Średnie,Brak danych.,Średnie,Średnie,Brak danych — nieprzewidywalność.
Salbutamol,Średnie,Średnie,Wytrącenie z zasadowymi lekami.,Średnie,Wysokie,"Tachykardia, hipokaliemia, arytmia. Addytywne z innymi lekami sympatykomimetycznymi.",Średnie,Średnie,Zbyt szybki bolus = tachykardia.
Sufentanyl,Niskie,Niskie,Umiarkowana adsorpcja do PVC.,Wysokie,Wysokie,Jak fentanyl. Silniejszy — wyższe ryzyko przy szybkim podaniu.,Średnie,Wysokie,Pomylenie dawkowania sufentanyl/fentanyl — 10× silniejszy.
TMP+SMX,Wysokie,Wysokie,Krystalizacja sulfametoksazolu w pH <8 — przy kontakcie z kwaśnymi lekami lub NaCl.,Średnie,Wysokie,Hamowanie metabolizmu VPA (TMP). Potencjalizacja działania leków nerkopochodnych.,Średnie,Średnie,Krystalizacja w linii nierozpoznana — zakrzep linii lub zator.
Teofilina,Średnie,Średnie,Degradacja z NAC/wit.C. Zmiana pH zaburza stabilność.,Wysokie,Krytyczne,"Wąski indeks terapeutyczny. Amiodaron i flukonazol podnoszą stężenie (CYP1A2, CYP3A4).",Bardzo wysokie,Krytyczne,"Szybki bolus / flush przez linię teofiliny = dawka ładująca niechciana → arytmia, drgawki."
Tigecyklina,Średnie,Wysokie,Degradacja fotochemiczna bez zmiany barwy roztworu.,Niskie,Średnie,Ograniczone dane Y-site z lekami OIT.,Wysokie,Wysokie,Brak osłony świetlnej — lek nieaktywny ale pozornie podany. Najczęstszy błąd przy tigecyklinie.
Torasemid,Wysokie,Wysokie,Jak furosemid — pH zasadowy.,Średnie,Wysokie,Hipokaliemia.,Średnie,Wysokie,Jak furosemid.
Urapidyl,Średnie,Średnie,Wytrącenie przy pH >8.,Średnie,Wysokie,Addytywna hipotensja z innymi lekami hipotensyjnymi.,Średnie,Wysokie,Szybki bolus = gwałtowna hipotensja.
Wankomycyna,Średnie,Wysokie,"Wytrącenie z fenytoiną, furosemidem, heparami przy wyższych stężeniach.",Wysokie,Wysokie,Addytywna nefrotoksyczność z amikacyną. Ototoksyczność. Red Man Syndrome przy szybkim podaniu.,Wysokie,Wysokie,"Zbyt szybki wlew (np. flush przez linię po wanko) → Red Man Syndrome. Hipotensja, bradykardia."
